num,id,created_at,text,fav,RT,,time,time,,,,RT/fav,,,,,,,,,
51,1.25144E+18,2020/4/18 9:37,7時半頃おすし動画一本投稿しま,12,0,,9:37,43939.40138,0.401377315,9.633055556,,0,1,,,,,,,,
52,1.25133E+18,2020/4/18 2:09,ハイドラすきだ...,17,0,,2:09,43939.09005,0.090046296,2.161111111,,0,1,,,,,,,,
53,1.25116E+18,2020/4/17 14:31,イケメンすぎるよハイドラント...#Splatoon2 #blender #3DCG https://t.co/4AOYqoctNt,88,9,,14:31,43938.60498,0.604976852,14.51944444,,0.102272727,0.102272727,,,,,,,,
54,1.25114E+18,2020/4/17 13:29,進捗ですスパとスパヒューもつくっちゃおかな https://t.co/2ceplYHKla,124,7,,13:29,43938.56244,0.56244213,13.49861111,,0.056451613,0.056451613,,,,,,,,
55,1.2511E+18,2020/4/17 10:30,SAVAGE#映像でEDMを広めようの会 #b3d #Aviutl #3DCG https://t.co/o0ZpSXsccP,51,4,,10:30,43938.4375,0.4375,10.5,,0.078431373,0.078431373,,,,,,,,
56,1.25107E+18,2020/4/17 8:35,スパクリのテクスチャ設定につかれたのでPythonの勉強で息抜き,10,0,,8:35,43938.35778,0.357777778,8.586666667,,0,1,,,,,,,,
57,1.25105E+18,2020/4/17 7:17,マイイカrkgkひさしぶり https://t.co/NqYcexcqAR,45,0,,7:17,43938.30391,0.303912037,7.293888889,,0,1,,,,,,,,
58,1.25074E+18,2020/4/16 11:00,???#SFM #Splatoon2 https://t.co/Ke4l0oaItf,830,118,,11:00,43937.45834,0.458344907,11.00027778,,0.142168675,0.142168675,,,,,,,,
59,1.25038E+18,2020/4/15 11:00,かいてんずし#3DCG #Splatoon2 #b3d https://t.co/y90IUSnBYp,785,90,,11:00,43936.45833,0.458333333,11,,0.114649682,0.114649682,,,,,,,,
60,1.25036E+18,2020/4/15 10:00,ROTATE文字アニメーション#3DCG #C4D https://t.co/Ixv3fOUYpG,27,2,,10:00,43936.41667,0.416666667,10,,0.074074074,0.074074074,,,,,,,,
61,1.25033E+18,2020/4/15 8:01,アイデアが密です密です密です,17,0,,8:01,43936.33413,0.334131944,8.019166667,,0,1,,,,,,,,
62,1.25029E+18,2020/4/15 5:19,ROTATE#c4d https://t.co/0e3VNujHBk,13,0,,5:19,43936.22154,0.221539352,5.316944444,,0,1,,,,,,,,
63,1.25027E+18,2020/4/15 3:46,のっくんの配信の中でひとつだけ私の配信あるので良ければみてやってくださいハイカス使いの人おしえ...て...https://t.co/ZbQhEkHNQA,12,1,,3:46,43936.15707,0.157071759,3.769722222,,0.083333333,0.083333333,,,,,,,,
64,1.25008E+18,2020/4/14 15:21,c4dのレンダリングが速すぎて泣いてる,3,0,,15:21,43935.64017,0.640173611,15.36416667,,0,1,,,,,,,,
65,1.25005E+18,2020/4/14 13:16,進捗ですみんな大好きなあれです https://t.co/Ph5nS8c594,187,8,,13:16,43935.55291,0.552905093,13.26972222,,0.042780749,0.042780749,,,,,,,,
66,1.25005E+18,2020/4/14 13:13,実はこのモデルのどこかにChiiって名前入れてるんです? https://t.co/OXPRl7dXyH,17,0,,13:13,43935.55116,0.551157407,13.22777778,,0,1,,,,,,,,
67,1.24995E+18,2020/4/14 6:22,最後にプログラム書いたのUnityのC#やねんけどそれも何週間か前まじでそろそろちゃんとプログラミング言語勉強しやな忘れる,12,0,,6:22,43935.2658,0.265798611,6.379166667,,0,1,,,,,,,,
68,1.24994E+18,2020/4/14 6:16,Pythonやりたいなあ,5,0,,6:16,43935.26139,0.261388889,6.273333333,,0,1,,,,,,,,
69,1.24966E+18,2020/4/13 11:09,サイト開設しました！作品をまとめております。お暇なときにでもご覧になってみてください?https://t.co/DKpFKGxWsH,26,3,,11:09,43934.46502,0.465023148,11.16055556,,0.115384615,0.115384615,,,,,,,,
70,1.24965E+18,2020/4/13 10:58,設計図（）からモデリングしました#c4d #3DCG https://t.co/WAUf9fIDLg,60,2,,10:58,43934.45705,0.457048611,10.96916667,,0.033333333,0.033333333,,,,,,,,
71,1.24958E+18,2020/4/13 6:11,昨日サイト作ってたら4時やった近日公開しますあと1900フォロー本当にありがとうございます,36,0,,6:11,43934.25813,0.258125,6.195,,0,1,,,,,,,,
72,1.24931E+18,2020/4/12 11:59,私のハイカス愛...?（ハイカスではない） https://t.co/OXPRl7dXyH,18,0,,11:59,43933.49985,0.499849537,11.99638889,,0,1,,,,,,,,
73,1.24931E+18,2020/4/12 11:59,今日の12時までなのでよろしくです...? https://t.co/WQ3P5LRJUN,17,4,,11:59,43933.49955,0.499548611,11.98916667,,0.235294118,0.235294118,,,,,,,,
74,1.24928E+18,2020/4/12 10:00,?New York...簡単なムービーつくりました街は全部CG#blender #Aviutl #3DCG https://t.co/42HphZzhI8,60,8,,10:00,43933.41667,0.416666667,10,,0.133333333,0.133333333,,,,,,,,
75,1.24893E+18,2020/4/11 11:00,?ハイドラント?約一週間...ついにモデル完成しました...！いっぱい見てくれ...！?#blender #Splatoon2 #3DCG https://t.co/qvm77FGdPc,2034,516,,11:00,43932.45833,0.458333333,11,,0.253687316,0.253687316,,,,,,,,
76,1.24886E+18,2020/4/11 6:42,ついに今日の夜...！ハイドラ完成品投稿します...！?超絶がんばったぜ...私の愛するハイドラント...,35,0,,6:42,43932.27929,0.279293981,6.703055556,,0,1,,,,,,,,
77,1.24857E+18,2020/4/10 11:00,?ヘッダー企画?・SFMでヘッダーつくります・フォロー＆リツイートで応募完了！・当選枠はおひとり・4/12 23:59まで期間短いですがよろしくお願いしまああああすSFM art raffle!! just fol… https://t.co/TQGsfxwkTO,327,295,,11:00,43931.45833,0.458333333,11,,0.902140673,0.902140673,,,,,,,,
78,1.24854E+18,2020/4/10 8:55,既にかっこいいな...#blender #Splatoon2 https://t.co/uOmxHuuMht,145,5,,8:55,43931.37192,0.371921296,8.926111111,,0.034482759,0.034482759,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
